# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
ji rou 	雞肉	c=1 d=0.0731678 t=3096
ji shi 	及時	c=1 d=0.865022 t=3096
ji shu 	技術	c=2 d=0.474451 t=3096
ji shu shui ping 	技術水平	c=1 d=0.289384 t=3096
ji su 	激素	c=1 d=0.694197 t=3096
ji suan 	計算	c=1 d=0.196912 t=3096
ji suan ji 	計算機	c=1 d=0.124307 t=3096
ji xiang 	機箱	c=1 d=0.130029 t=3096
ji xu 	繼續	c=1 d=0.755784 t=3096
ji yi you xin 	記憶猶新	c=1 d=0.090718 t=3096
ji yu 	機遇	c=1 d=0.251579 t=3096
ji zhu 	記住	c=1 d=0.425283 t=3096
jia 	家	c=3 d=0.584548 t=3096
jia jing 	家境	c=1 d=0.181772 t=3096
jia li 	家裏	c=1 d=0.519442 t=3096
jia li mian 	家裏面	c=1 d=0.718924 t=3096
jia re 	加熱	c=1 d=0.315058 t=3096
jia shang 	加上	c=2 d=0.388659 t=3096
jia ting 	家庭	c=2 d=0.19657 t=3096
jia yu 	甲魚	c=1 d=0.0765355 t=3096
jian 	見	c=1 d=0.554327 t=3096
jian 	鍵	c=2 d=0.798516 t=3096
jian bang 	肩膀	c=1 d=0.790571 t=3096
jian cha 	檢查	c=2 d=0.550795 t=3096
jian dan 	簡單	c=9 d=2.61977 t=3096
jian guo 	見過	c=1 d=0.527292 t=3096
jian mian 	見面	c=2 d=0.315617 t=3096
jian pan 	鍵盤	c=6 d=1.00498 t=3096
jian yi 	建議	c=3 d=0.958524 t=3096
jian zhi 	簡直	c=1 d=0.00701293 t=3096
jiang jiu 	將就	c=1 d=0.0368832 t=3096
jiao 	叫	c=2 d=0.701173 t=3096
jiao 	教	c=1 d=0.382893 t=3096
jiao fu 	交付	c=2 d=0.0917376 t=3096
jiao tong 	交通	c=1 d=0.0513033 t=3096
jie gou 	結構	c=1 d=0.527292 t=3096
jie jue 	解決	c=2 d=0.552877 t=3096
jie kou 	接口	c=4 d=0.757779 t=3096
jie ru 	介入	c=1 d=0.301194 t=3096
jie ru 	接入	c=1 d=0.304221 t=3096
jie shao 	介紹	c=1 d=0.32628 t=3096
jie shou 	接受	c=1 d=0.236928 t=3096
jie shu 	結束	c=1 d=0.470011 t=3096
jie suo 	解鎖	c=1 d=0.0125254 t=3096
jin 	近	c=1 d=0.0706512 t=3096
jin cheng 	進程	c=2 d=0.744276 t=3096
jin guan 	儘管	c=1 d=0.187308 t=3096
jin liang 	儘量	c=1 d=0.0539337 t=3096
jin nian 	今年	c=1 d=0.535261 t=3096
jin qi 	近期	c=1 d=0.771052 t=3096
jin tian 	今天	c=14 d=2.79815 t=3096
jin yong 	禁用	c=2 d=1.5047 t=3096
jing chang 	經常	c=1 d=0.0175097 t=3096
jing li 	精力	c=0 d=0.0637628 t=3096
jing li bao peng 	精力爆棚	c=1 d=0.640824 t=3096
jing ran 	竟然	c=1 d=0.00588705 t=3096
jing zhi 	精緻	c=1 d=0.0395575 t=3096
jiu 	就	c=31 d=5.32569 t=3096
jiu ban 	舊版	c=1 d=0.618783 t=3096
jiu shi 	就是	c=21 d=3.21331 t=3096
jiu shuo 	就說	c=2 d=0.50194 t=3096
jiu suan 	就算	c=1 d=0.0170774 t=3096
jiu xing 	就行	c=1 d=0.856415 t=3096
ju bei 	具備	c=1 d=0.25284 t=3096
ju hao 	句號	c=5 d=2.56277 t=3096
ju ran 	居然	c=1 d=0.0889216 t=3096
ju zhong 	劇中	c=1 d=0.0288686 t=3096
ju zhong 	舉重	c=1 d=0.0290133 t=3096
jue de 	覺得	c=15 d=3.60662 t=3096
ka 	卡	c=3 d=1.83444 t=3096
ka fei 	咖啡	c=2 d=0.224629 t=3096
ka fei ting 	咖啡廳	c=1 d=0.128093 t=3096
ka ka 	卡卡	c=1 d=0.0241131 t=3096
kai 	開	c=3 d=0.65377 t=3096
kai che 	開車	c=1 d=0.0575558 t=3096
kai ji 	開機	c=1 d=0.0270518 t=3096
kai shi 	開始	c=3 d=1.13376 t=3096
kai shi le 	開始了	c=1 d=0.822835 t=3096
kai tong le 	開通了	c=1 d=0.285076 t=3096
kai xiao 	開銷	c=1 d=0.529935 t=3096
kan 	看	c=4 d=1.26077 t=3096
kan bu shang 	看不上	c=1 d=0.293758 t=3096
kan chu lai 	看出來	c=1 d=0.153355 t=3096
kan cuo 	看錯	c=1 d=0.063609 t=3096
kan dao 	看到	c=2 d=0.965605 t=3096
kan kan 	看看	c=2 d=0.163847 t=3096
kan kan shu 	看看書	c=1 d=0.187308 t=3096
kan qi lai 	看起來	c=1 d=0.0361528 t=3096
kan yang zi 	看樣子	c=1 d=0.0232837 t=3096
kan zhe 	看着	c=1 d=0.687289 t=3096
kao 	靠	c=2 d=1.54371 t=3096
kao lv 	考慮	c=21 d=7.46175 t=3096
ke 	可	c=2 d=0.453729 t=3096
ke ai 	可愛	c=1 d=0.0724398 t=3096
